city_ibge_code,IDHM,IDHM_E,IDHM_L,IDHM_R,ANO_IDH,GINI
1703883,0.64,0.521,0.81,0.621,2010,0.48
1703891,0.594,0.531,0.728,0.543,2010,0.56
1703909,0.658,0.534,0.825,0.647,2010,0.61
1704105,0.569,0.461,0.7,0.571,2010,0.63
1704600,0.619,0.529,0.726,0.619,2010,0.51
1705102,0.62,0.497,0.814,0.59,2010,0.62
1705508,0.701,0.614,0.814,0.69,2010,0.56
1705557,0.697,0.639,0.815,0.649,2010,0.52
1705607,0.592,0.478,0.739,0.588,2010,0.55
1706001,0.605,0.508,0.76,0.574,2010,0.55
1706100,0.673,0.57,0.805,0.663,2010,0.57
1706258,0.644,0.555,0.798,0.603,2010,0.48
1706506,0.581,0.429,0.764,0.597,2010,0.51
1707009,0.701,0.624,0.822,0.673,2010,0.57
1707108,0.683,0.585,0.816,0.667,2010,0.64
1707207,0.583,0.442,0.813,0.551,2010,0.56
1707306,0.679,0.566,0.846,0.654,2010,0.56
1707405,0.57,0.524,0.715,0.495,2010,0.55
1707553,0.697,0.638,0.813,0.653,2010,0.56
1707652,0.689,0.6,0.822,0.664,2010,0.52
1707702,0.621,0.522,0.792,0.578,2010,0.54
1708205,0.67,0.587,0.801,0.64,2010,0.52
1708254,0.659,0.575,0.808,0.616,2010,0.46
1708304,0.621,0.497,0.805,0.598,2010,0.54
1709005,0.576,0.462,0.765,0.541,2010,0.61
1709302,0.741,0.67,0.839,0.724,2010,0.61
1709500,0.759,0.706,0.843,0.736,2010,0.54
1709807,0.62,0.518,0.797,0.576,2010,0.43
1710508,0.612,0.491,0.798,0.585,2010,0.58
1710706,0.616,0.511,0.799,0.572,2010,0.57
1710904,0.601,0.446,0.796,0.611,2010,0.52
1711100,0.65,0.531,0.842,0.613,2010,0.44
1711506,0.662,0.529,0.815,0.672,2010,0.64
1711803,0.584,0.478,0.742,0.563,2010,0.52
1711902,0.627,0.496,0.787,0.63,2010,0.51
1711951,0.579,0.471,0.758,0.543,2010,0.6
