city_ibge_code,IDHM,IDHM_E,IDHM_L,IDHM_R,ANO_IDH,GINI
2603504,0.588,0.472,0.738,0.585,2010,0.53
2603603,0.606,0.514,0.76,0.57,2010,0.48
2603702,0.541,0.403,0.725,0.543,2010,0.52
2603801,0.549,0.419,0.746,0.529,2010,0.5
2603900,0.583,0.505,0.727,0.54,2010,0.53
2603926,0.573,0.508,0.755,0.491,2010,0.56
2604007,0.68,0.619,0.806,0.63,2010,0.5
2604106,0.677,0.569,0.799,0.681,2010,0.53
2604155,0.567,0.489,0.721,0.518,2010,0.45
2604205,0.609,0.515,0.76,0.578,2010,0.54
2604304,0.615,0.573,0.717,0.565,2010,0.56
2604403,0.604,0.529,0.762,0.546,2010,0.44
2604502,0.599,0.443,0.803,0.603,2010,0.55
2604601,0.602,0.527,0.713,0.581,2010,0.53
2604700,0.536,0.385,0.726,0.551,2010,0.52
2604809,0.568,0.478,0.707,0.541,2010,0.47
2604908,0.572,0.47,0.72,0.553,2010,0.5
2605004,0.592,0.453,0.763,0.601,2010,0.49
2605103,0.594,0.489,0.706,0.607,2010,0.53
2605152,0.589,0.495,0.741,0.558,2010,0.47
2605202,0.632,0.543,0.781,0.594,2010,0.46
2605301,0.576,0.454,0.775,0.543,2010,0.57
2605400,0.6,0.46,0.807,0.581,2010,0.48
2605459,0.788,0.748,0.839,0.781,2010,0.46
2605509,0.622,0.519,0.787,0.589,2010,0.5
2605608,0.556,0.423,0.745,0.544,2010,0.5
2605707,0.626,0.538,0.775,0.588,2010,0.52
2605806,0.576,0.438,0.758,0.575,2010,0.46
2605905,0.602,0.532,0.759,0.541,2010,0.46
2606002,0.664,0.556,0.795,0.662,2010,0.59
2606101,0.604,0.506,0.765,0.57,2010,0.52
2606200,0.651,0.576,0.779,0.614,2010,0.54
2606309,0.595,0.502,0.773,0.543,2010,0.54
2606408,0.634,0.51,0.794,0.63,2010,0.53
2606507,0.528,0.369,0.768,0.518,2010,0.55
2606606,0.552,0.446,0.706,0.533,2010,0.51
2606705,0.58,0.476,0.753,0.545,2010,0.47
2606804,0.665,0.606,0.781,0.622,2010,0.48
2606903,0.598,0.48,0.77,0.58,2010,0.54
2607000,0.523,0.4,0.711,0.503,2010,0.6
2607109,0.608,0.51,0.766,0.575,2010,0.53
2607208,0.619,0.499,0.774,0.613,2010,0.5
2607307,0.55,0.433,0.712,0.541,2010,0.53
2607406,0.595,0.523,0.712,0.567,2010,0.46
2607505,0.51,0.364,0.688,0.531,2010,0.51
2607604,0.653,0.548,0.809,0.627,2010,0.6
2607653,0.575,0.463,0.727,0.566,2010,0.5
2607703,0.592,0.494,0.704,0.598,2010,0.55
2607752,0.633,0.564,0.764,0.589,2010,0.54
2607802,0.586,0.509,0.715,0.554,2010,0.45
2607901,0.717,0.642,0.83,0.692,2010,0.58
2607950,0.575,0.454,0.751,0.557,2010,0.59
2608008,0.53,0.381,0.712,0.549,2010,0.49
2608057,0.645,0.573,0.775,0.604,2010,0.57
2608107,0.576,0.466,0.72,0.569,2010,0.49
2608206,0.554,0.449,0.676,0.561,2010,0.48
2608255,0.55,0.451,0.681,0.541,2010,0.5
2608305,0.575,0.487,0.698,0.56,2010,0.5
2608404,0.509,0.372,0.681,0.522,2010,0.51
2608453,0.609,0.505,0.789,0.566,2010,0.45
2608503,0.602,0.509,0.774,0.555,2010,0.45
2608602,0.525,0.369,0.733,0.536,2010,0.51
2608701,0.551,0.416,0.725,0.555,2010,0.5
2608750,0.597,0.52,0.705,0.581,2010,0.52
2608800,0.611,0.503,0.758,0.599,2010,0.5
2608909,0.663,0.583,0.797,0.628,2010,0.51
2609006,0.609,0.508,0.778,0.571,2010,0.51
2609105,0.578,0.466,0.767,0.541,2010,0.48
2609154,0.487,0.354,0.682,0.477,2010,0.54
2609204,0.534,0.403,0.698,0.541,2010,0.54
2609303,0.591,0.525,0.769,0.512,2010,0.58
2609402,0.652,0.564,0.805,0.61,2010,0.53
2609501,0.662,0.604,0.789,0.608,2010,0.49
2609600,0.735,0.675,0.836,0.704,2010,0.55
2609709,0.61,0.528,0.787,0.545,2010,0.52
2609808,0.61,0.553,0.766,0.536,2010,0.51
2609907,0.572,0.419,0.773,0.578,2010,0.6
2610004,0.622,0.55,0.744,0.588,2010,0.49
2610103,0.549,0.438,0.681,0.554,2010,0.51
2610202,0.569,0.433,0.778,0.546,2010,0.56
2610301,0.537,0.418,0.703,0.528,2010,0.55
2610400,0.599,0.499,0.776,0.556,2010,0.59
2610509,0.592,0.487,0.763,0.559,2010,0.5
2610608,0.639,0.545,0.782,0.612,2010,0.56
2610707,0.732,0.703,0.83,0.673,2010,0.49
2610806,0.567,0.445,0.743,0.55,2010,0.53
2610905,0.61,0.506,0.751,0.597,2010,0.56
2611002,0.623,0.531,0.755,0.604,2010,0.55
2611101,0.697,0.611,0.799,0.695,2010,0.62
2611200,0.528,0.402,0.677,0.542,2010,0.54
2611309,0.598,0.463,0.79,0.584,2010,0.48
2611408,0.58,0.444,0.767,0.572,2010,0.44
2611507,0.552,0.427,0.743,0.53,2010,0.48
2611533,0.577,0.482,0.752,0.53,2010,0.49
2611606,0.772,0.698,0.825,0.798,2010,0.68
2611705,0.57,0.418,0.757,0.586,2010,0.51
2611804,0.602,0.516,0.711,0.595,2010,0.5
2611903,0.613,0.506,0.809,0.562,2010,0.44
2612000,0.585,0.44,0.784,0.581,2010,0.45
2612109,0.534,0.405,0.73,0.516,2010,0.52
2612208,0.669,0.58,0.799,0.645,2010,0.59
2612307,0.559,0.421,0.744,0.559,2010,0.55
2612406,0.603,0.514,0.758,0.564,2010,0.51
2612455,0.549,0.438,0.722,0.522,2010,0.57
2612471,0.612,0.523,0.786,0.557,2010,0.51
2612505,0.648,0.506,0.806,0.667,2010,0.45
2612554,0.533,0.406,0.752,0.496,2010,0.55
2612604,0.59,0.472,0.773,0.564,2010,0.55
2612703,0.548,0.393,0.735,0.571,2010,0.46
2612802,0.593,0.524,0.737,0.54,2010,0.51
2612901,0.53,0.406,0.736,0.499,2010,0.52
2613008,0.593,0.446,0.789,0.593,2010,0.6
2613107,0.591,0.469,0.756,0.583,2010,0.5
2613206,0.57,0.426,0.768,0.565,2010,0.56
2613305,0.537,0.381,0.741,0.549,2010,0.53
2613404,0.608,0.522,0.736,0.585,2010,0.58
2613503,0.61,0.52,0.769,0.569,2010,0.54
2613602,0.635,0.554,0.769,0.602,2010,0.53
2613701,0.653,0.571,0.793,0.614,2010,0.5
2613800,0.549,0.414,0.715,0.558,2010,0.56
2613909,0.661,0.571,0.8,0.632,2010,0.56
2614006,0.595,0.512,0.76,0.542,2010,0.56
2614105,0.613,0.51,0.752,0.601,2010,0.6
2614204,0.597,0.492,0.763,0.568,2010,0.44
2614303,0.6,0.54,0.768,0.522,2010,0.54
2614402,0.585,0.485,0.755,0.547,2010,0.56
2614501,0.635,0.548,0.756,0.617,2010,0.52
2614600,0.605,0.504,0.77,0.57,2010,0.51
2614709,0.554,0.423,0.748,0.536,2010,0.5
2614808,0.573,0.507,0.711,0.521,2010,0.49
2614857,0.593,0.479,0.745,0.583,2010,0.55
2615003,0.641,0.52,0.796,0.636,2010,0.42
2615102,0.545,0.425,0.711,0.536,2010,0.53
2615201,0.599,0.533,0.741,0.545,2010,0.49
2615300,0.618,0.519,0.769,0.592,2010,0.5
2615409,0.618,0.452,0.797,0.655,2010,0.43
2615508,0.605,0.504,0.776,0.567,2010,0.46
2615607,0.595,0.455,0.768,0.602,2010,0.57
2615706,0.67,0.591,0.817,0.624,2010,0.56
2615805,0.519,0.379,0.747,0.494,2010,0.61
2615904,0.634,0.557,0.749,0.612,2010,0.47
2616001,0.592,0.484,0.751,0.57,2010,0.52
2616100,0.605,0.52,0.76,0.56,2010,0.54
2616183,0.563,0.461,0.726,0.532,2010,0.45
2616209,0.582,0.45,0.728,0.602,2010,0.46
2616308,0.605,0.534,0.754,0.551,2010,0.48
2616407,0.64,0.543,0.768,0.629,2010,0.54
2616506,0.552,0.436,0.703,0.549,2010,0.49
2700102,0.549,0.432,0.728,0.527,2010,0.56
2700201,0.568,0.444,0.756,0.546,2010,0.53
2700300,0.649,0.549,0.78,0.638,2010,0.55
2700409,0.561,0.431,0.752,0.545,2010,0.5
2700508,0.557,0.428,0.732,0.552,2010,0.52
2700607,0.615,0.475,0.767,0.638,2010,0.55
2700706,0.594,0.496,0.752,0.563,2010,0.49
2700805,0.593,0.464,0.764,0.587,2010,0.56
2700904,0.517,0.376,0.725,0.507,2010,0.65
2701001,0.604,0.518,0.758,0.56,2010,0.51
2701100,0.513,0.362,0.699,0.534,2010,0.42
2701209,0.531,0.384,0.697,0.559,2010,0.6
2701308,0.562,0.473,0.691,0.542,2010,0.49
2701357,0.559,0.435,0.729,0.55,2010,0.47
2701407,0.57,0.47,0.742,0.531,2010,0.47
2701506,0.524,0.387,0.739,0.502,2010,0.58
2701605,0.506,0.357,0.719,0.504,2010,0.6
2701704,0.573,0.456,0.743,0.554,2010,0.49
2701803,0.526,0.398,0.709,0.517,2010,0.54
2701902,0.575,0.481,0.737,0.537,2010,0.5
2702009,0.533,0.398,0.73,0.52,2010,0.52
2702108,0.517,0.363,0.693,0.548,2010,0.53
2702207,0.586,0.457,0.757,0.582,2010,0.49
2702306,0.626,0.541,0.769,0.591,2010,0.52
2702355,0.525,0.408,0.687,0.517,2010,0.53
2702405,0.612,0.494,0.774,0.599,2010,0.52
2702504,0.532,0.385,0.762,0.513,2010,0.55
2702553,0.534,0.41,0.72,0.515,2010,0.51
2702603,0.533,0.402,0.736,0.512,2010,0.53
2702702,0.565,0.462,0.708,0.55,2010,0.49
2702801,0.527,0.4,0.693,0.528,2010,0.47
2702900,0.536,0.405,0.762,0.498,2010,0.58
2703007,0.518,0.393,0.684,0.517,2010,0.53
2703106,0.564,0.424,0.774,0.547,2010,0.57
2703205,0.568,0.428,0.771,0.556,2010,0.65
2703304,0.484,0.316,0.718,0.501,2010,0.67
2703403,0.583,0.481,0.759,0.543,2010,0.49
2703502,0.548,0.41,0.755,0.532,2010,0.46
2703601,0.57,0.451,0.735,0.56,2010,0.52
2703700,0.552,0.451,0.701,0.532,2010,0.48
2703759,0.556,0.43,0.772,0.517,2010,0.47
2703809,0.531,0.386,0.764,0.509,2010,0.5
2703908,0.562,0.434,0.715,0.573,2010,0.54
2704005,0.575,0.454,0.714,0.586,2010,0.57
2704104,0.552,0.443,0.703,0.541,2010,0.51
2704203,0.58,0.457,0.742,0.575,2010,0.64
2704302,0.721,0.635,0.799,0.739,2010,0.63
2704401,0.566,0.424,0.755,0.566,2010,0.54
2704500,0.574,0.443,0.766,0.556,2010,0.54
2704609,0.569,0.46,0.742,0.539,2010,0.58
2704708,0.642,0.52,0.793,0.641,2010,0.6
2704807,0.597,0.487,0.751,0.581,2010,0.49
2704906,0.577,0.465,0.766,0.54,2010,0.47
2705002,0.504,0.369,0.685,0.506,2010,0.57
2705101,0.584,0.473,0.777,0.541,2010,0.46
2705200,0.568,0.46,0.714,0.557,2010,0.49
2705309,0.563,0.43,0.767,0.541,2010,0.54
2705408,0.539,0.443,0.71,0.497,2010,0.49
2705507,0.527,0.395,0.685,0.542,2010,0.48
2705606,0.521,0.375,0.69,0.546,2010,0.55
2705705,0.565,0.422,0.752,0.568,2010,0.55
2705804,0.525,0.35,0.785,0.527,2010,0.54
2705903,0.503,0.399,0.673,0.473,2010,0.59
2706000,0.493,0.345,0.677,0.513,2010,0.56
2706109,0.547,0.434,0.7,0.538,2010,0.55
2706208,0.558,0.467,0.735,0.505,2010,0.59
2706307,0.638,0.523,0.794,0.625,2010,0.56
2706406,0.593,0.491,0.793,0.536,2010,0.57
2706422,0.548,0.416,0.754,0.526,2010,0.5
2706448,0.605,0.486,0.767,0.595,2010,0.53
2706505,0.533,0.421,0.703,0.513,2010,0.48
2706604,0.589,0.507,0.732,0.551,2010,0.52
2706703,0.63,0.536,0.774,0.602,2010,0.55
2706802,0.572,0.479,0.727,0.538,2010,0.52
2706901,0.61,0.509,0.771,0.578,2010,0.51
2707008,0.574,0.465,0.703,0.579,2010,0.58
2707107,0.589,0.462,0.786,0.563,2010,0.6
2707206,0.526,0.419,0.719,0.484,2010,0.64
2707305,0.586,0.498,0.723,0.558,2010,0.47
2707404,0.541,0.379,0.769,0.542,2010,0.53
2707503,0.551,0.431,0.758,0.513,2010,0.61
2707602,0.559,0.421,0.775,0.536,2010,0.53
2707701,0.643,0.547,0.788,0.616,2010,0.48
2707800,0.505,0.365,0.672,0.524,2010,0.47
2707909,0.597,0.477,0.77,0.58,2010,0.48
2708006,0.591,0.463,0.77,0.579,2010,0.61
2708105,0.519,0.362,0.752,0.513,2010,0.49
2708204,0.572,0.48,0.732,0.533,2010,0.61
2708303,0.573,0.434,0.755,0.574,2010,0.48
2708402,0.527,0.409,0.703,0.508,2010,0.58
2708501,0.536,0.4,0.701,0.55,2010,0.5
2708600,0.623,0.514,0.77,0.612,2010,0.51
2708709,0.591,0.504,0.752,0.545,2010,0.48
2708808,0.549,0.432,0.714,0.537,2010,0.54
2708907,0.66,0.585,0.794,0.619,2010,0.52
2708956,0.518,0.398,0.728,0.481,2010,0.55
2709004,0.555,0.43,0.748,0.531,2010,0.5
2709103,0.541,0.421,0.71,0.529,2010,0.51
2709152,0.564,0.466,0.7,0.549,2010,0.51
2709202,0.532,0.395,0.765,0.499,2010,0.64
2709301,0.593,0.462,0.764,0.59,2010,0.53
2709400,0.586,0.478,0.758,0.554,2010,0.59
2800100,0.611,0.55,0.728,0.569,2010,0.51
2800209,0.578,0.452,0.747,0.573,2010,0.54
2800308,0.77,0.708,0.823,0.784,2010,0.62
2800407,0.595,0.49,0.783,0.55,2010,0.5
2800506,0.579,0.434,0.773,0.579,2010,0.48
2800605,0.649,0.545,0.776,0.647,2010,0.54
2800670,0.604,0.492,0.771,0.581,2010,0.5
2800704,0.54,0.435,0.701,0.515,2010,0.51
2801009,0.621,0.484,0.793,0.625,2010,0.54
2801108,0.569,0.462,0.722,0.553,2010,0.52
2801207,0.567,0.435,0.741,0.566,2010,0.55
2801306,0.615,0.51,0.766,0.596,2010,0.53
2801405,0.588,0.442,0.791,0.581,2010,0.49
2801504,0.643,0.546,0.783,0.623,2010,0.55
2801603,0.623,0.543,0.731,0.608,2010,0.53
2801702,0.553,0.414,0.755,0.54,2010,0.5
2801900,0.604,0.512,0.748,0.576,2010,0.49
2802007,0.61,0.527,0.753,0.571,2010,0.4
2802106,0.647,0.552,0.782,0.627,2010,0.52
2802205,0.584,0.473,0.773,0.546,2010,0.47
2802304,0.589,0.428,0.768,0.623,2010,0.48
2802403,0.564,0.422,0.783,0.544,2010,0.61
2802502,0.645,0.567,0.776,0.609,2010,0.54
2802601,0.577,0.468,0.729,0.562,2010,0.56
2802700,0.562,0.469,0.735,0.514,2010,0.56
2802809,0.58,0.475,0.772,0.533,2010,0.53
2802908,0.642,0.513,0.801,0.645,2010,0.52
2803005,0.556,0.407,0.761,0.555,2010,0.51
2803104,0.602,0.512,0.748,0.569,2010,0.47
2803203,0.561,0.414,0.779,0.548,2010,0.49
2803302,0.621,0.544,0.757,0.581,2010,0.5
2803401,0.56,0.455,0.7,0.551,2010,0.49
2803500,0.625,0.515,0.775,0.613,2010,0.5
2803609,0.642,0.582,0.772,0.589,2010,0.49
2803708,0.583,0.474,0.728,0.573,2010,0.43
2803807,0.599,0.531,0.722,0.56,2010,0.46
2803906,0.587,0.442,0.781,0.587,2010,0.45
2804003,0.618,0.511,0.781,0.59,2010,0.48
2804102,0.587,0.429,0.792,0.596,2010,0.44
2804201,0.553,0.431,0.726,0.539,2010,0.56
2804300,0.626,0.554,0.771,0.575,2010,0.49
2804409,0.589,0.505,0.702,0.575,2010,0.55
2804458,0.577,0.43,0.774,0.577,2010,0.56
2804508,0.587,0.456,0.75,0.591,2010,0.52
2804607,0.6,0.497,0.749,0.579,2010,0.51
2804706,0.598,0.532,0.719,0.56,2010,0.49
2804805,0.664,0.581,0.811,0.62,2010,0.47
2804904,0.555,0.454,0.731,0.514,2010,0.58
2805000,0.593,0.499,0.698,0.599,2010,0.54
2805109,0.592,0.486,0.75,0.568,2010,0.52
2805208,0.583,0.48,0.711,0.58,2010,0.42
2805307,0.603,0.515,0.764,0.558,2010,0.53
2805406,0.529,0.376,0.76,0.519,2010,0.59
2805505,0.561,0.417,0.751,0.563,2010,0.51
2805604,0.568,0.462,0.739,0.537,2010,0.56
2805703,0.661,0.593,0.776,0.629,2010,0.54
2805802,0.539,0.381,0.781,0.527,2010,0.48
2805901,0.617,0.52,0.766,0.591,2010,0.5
2806008,0.613,0.49,0.769,0.61,2010,0.45
2806107,0.631,0.571,0.731,0.603,2010,0.5
2806206,0.609,0.486,0.789,0.588,2010,0.51
2806305,0.545,0.414,0.764,0.513,2010,0.53
2806404,0.59,0.526,0.716,0.544,2010,0.48
2806503,0.592,0.514,0.766,0.527,2010,0.45
2806602,0.637,0.543,0.778,0.613,2010,0.57
2806701,0.662,0.581,0.8,0.624,2010,0.47
2806800,0.588,0.471,0.756,0.572,2010,0.41
2806909,0.587,0.49,0.732,0.564,2010,0.48
2807006,0.567,0.424,0.753,0.571,2010,0.49
2807105,0.604,0.492,0.775,0.579,2010,0.49
2807204,0.609,0.541,0.74,0.565,2010,0.47
2807303,0.604,0.542,0.722,0.564,2010,0.48
2807402,0.557,0.404,0.702,0.609,2010,0.55
2807501,0.551,0.432,0.746,0.52,2010,0.47
2807600,0.579,0.476,0.719,0.567,2010,0.46
2900108,0.603,0.51,0.746,0.577,2010,0.46
2900207,0.575,0.46,0.776,0.533,2010,0.55
2900306,0.582,0.487,0.723,0.56,2010,0.57
2900355,0.546,0.432,0.718,0.526,2010,0.54
2900405,0.55,0.422,0.747,0.529,2010,0.53
2900504,0.584,0.471,0.758,0.558,2010,0.49
2900603,0.583,0.471,0.733,0.573,2010,0.44
2900702,0.683,0.592,0.79,0.681,2010,0.55
2900801,0.608,0.476,0.771,0.611,2010,0.53
2900900,0.563,0.421,0.751,0.563,2010,0.46
2901007,0.625,0.492,0.807,0.616,2010,0.56
2901106,0.666,0.6,0.81,0.609,2010,0.49
2901155,0.561,0.464,0.751,0.506,2010,0.5
2901205,0.54,0.371,0.771,0.549,2010,0.48
2901304,0.555,0.415,0.764,0.54,2010,0.59
2901353,0.588,0.474,0.731,0.586,2010,0.55
2901403,0.625,0.556,0.778,0.564,2010,0.54
2901502,0.589,0.471,0.766,0.565,2010,0.48
2901601,0.592,0.491,0.739,0.573,2010,0.52
2901700,0.561,0.422,0.768,0.544,2010,0.46
2901809,0.598,0.498,0.741,0.58,2010,0.51
2901908,0.548,0.425,0.751,0.516,2010,0.56
2901957,0.552,0.413,0.735,0.555,2010,0.46
2902005,0.581,0.439,0.754,0.591,2010,0.45
2902054,0.57,0.462,0.744,0.54,2010,0.53
2902104,0.534,0.381,0.747,0.534,2010,0.57
2902203,0.588,0.47,0.761,0.568,2010,0.51
2902252,0.559,0.413,0.758,0.557,2010,0.47
2902302,0.575,0.443,0.753,0.57,2010,0.52
2902401,0.568,0.434,0.759,0.555,2010,0.45
2902500,0.589,0.492,0.763,0.543,2010,0.57
2902609,0.585,0.471,0.775,0.549,2010,0.53
2902658,0.579,0.468,0.769,0.539,2010,0.46
2902708,0.557,0.457,0.75,0.503,2010,0.59
2902807,0.575,0.469,0.717,0.566,2010,0.53
2902906,0.551,0.386,0.77,0.563,2010,0.44
2903003,0.63,0.553,0.784,0.578,2010,0.57
2903102,0.577,0.465,0.705,0.585,2010,0.52
2903201,0.721,0.668,0.807,0.695,2010,0.56
2903235,0.607,0.55,0.739,0.551,2010,0.51
2903276,0.61,0.503,0.786,0.574,2010,0.46
2903300,0.602,0.508,0.744,0.576,2010,0.49
2903409,0.598,0.48,0.771,0.577,2010,0.5
2903508,0.575,0.444,0.76,0.562,2010,0.49
2903607,0.538,0.402,0.738,0.525,2010,0.55
2903706,0.567,0.453,0.753,0.535,2010,0.51
2903805,0.551,0.447,0.729,0.514,2010,0.56
2903904,0.633,0.533,0.775,0.615,2010,0.6
2903953,0.546,0.407,0.749,0.535,2010,0.52
2904001,0.612,0.514,0.789,0.564,2010,0.53
2904050,0.561,0.467,0.685,0.552,2010,0.5
2904100,0.603,0.497,0.782,0.564,2010,0.53
2904209,0.575,0.464,0.754,0.543,2010,0.52
2904308,0.597,0.49,0.775,0.56,2010,0.5
2904407,0.592,0.523,0.746,0.533,2010,0.56
2904506,0.57,0.445,0.754,0.552,2010,0.56
2904605,0.656,0.554,0.807,0.63,2010,0.52
2904704,0.613,0.495,0.772,0.604,2010,0.53
2904753,0.565,0.471,0.761,0.504,2010,0.57
2904803,0.561,0.406,0.752,0.579,2010,0.39
2904852,0.581,0.49,0.763,0.525,2010,0.54
2904902,0.647,0.577,0.762,0.615,2010,0.56
2905008,0.637,0.541,0.769,0.621,2010,0.48
2905107,0.546,0.434,0.701,0.535,2010,0.54
2905156,0.542,0.409,0.725,0.536,2010,0.5
2905206,0.625,0.484,0.801,0.631,2010,0.59
2905305,0.584,0.49,0.734,0.554,2010,0.55
2905404,0.627,0.51,0.807,0.6,2010,0.53
2905503,0.573,0.473,0.758,0.526,2010,0.55
2905602,0.581,0.419,0.768,0.608,2010,0.6
2905701,0.694,0.616,0.798,0.681,2010,0.53
2905800,0.565,0.452,0.71,0.562,2010,0.54
2905909,0.557,0.43,0.778,0.516,2010,0.61
2906006,0.586,0.475,0.749,0.566,2010,0.57
2906105,0.565,0.463,0.732,0.531,2010,0.49
2906204,0.587,0.496,0.734,0.555,2010,0.48
2906303,0.59,0.434,0.796,0.596,2010,0.51
2906402,0.587,0.465,0.787,0.554,2010,0.44
2906501,0.691,0.616,0.823,0.652,2010,0.48
2906600,0.591,0.481,0.743,0.578,2010,0.44
2906709,0.601,0.482,0.798,0.565,2010,0.5
2906808,0.557,0.438,0.745,0.53,2010,0.57
2906824,0.562,0.453,0.707,0.554,2010,0.53
2906857,0.599,0.48,0.77,0.582,2010,0.49
2906873,0.621,0.514,0.752,0.62,2010,0.54
2906899,0.555,0.405,0.739,0.57,2010,0.49
2906907,0.616,0.473,0.791,0.626,2010,0.56
2907004,0.552,0.437,0.735,0.523,2010,0.52
2907103,0.576,0.477,0.763,0.525,2010,0.51
2907202,0.57,0.435,0.736,0.577,2010,0.54
2907301,0.613,0.504,0.774,0.591,2010,0.54
2907400,0.582,0.452,0.786,0.554,2010,0.51
2907509,0.677,0.578,0.814,0.66,2010,0.55
2907558,0.571,0.446,0.77,0.543,2010,0.49
2907608,0.596,0.538,0.728,0.54,2010,0.54
2907707,0.6,0.503,0.779,0.552,2010,0.58
2907806,0.585,0.477,0.712,0.59,2010,0.53
2907905,0.601,0.496,0.744,0.589,2010,0.55
2908002,0.613,0.491,0.762,0.615,2010,0.54
2908101,0.596,0.471,0.805,0.558,2010,0.56
2908200,0.634,0.548,0.766,0.606,2010,0.56
2908309,0.606,0.479,0.805,0.578,2010,0.56
2908408,0.611,0.517,0.752,0.587,2010,0.48
2908507,0.663,0.579,0.799,0.63,2010,0.48
2908606,0.56,0.451,0.705,0.551,2010,0.63
2908705,0.582,0.447,0.789,0.559,2010,0.49
2908804,0.577,0.477,0.695,0.579,2010,0.51
2908903,0.592,0.489,0.762,0.558,2010,0.52
2909000,0.579,0.454,0.763,0.561,2010,0.45
2909109,0.6,0.491,0.807,0.545,2010,0.58
2909208,0.535,0.392,0.716,0.545,2010,0.48
2909307,0.603,0.481,0.792,0.575,2010,0.58
2909406,0.59,0.504,0.746,0.545,2010,0.56
2909505,0.599,0.503,0.765,0.559,2010,0.53
2909604,0.543,0.387,0.765,0.542,2010,0.57
2909703,0.614,0.553,0.766,0.546,2010,0.54
2909802,0.699,0.65,0.796,0.659,2010,0.55
2909901,0.581,0.463,0.778,0.544,2010,0.51
2910008,0.54,0.392,0.771,0.522,2010,0.54
2910057,0.676,0.584,0.811,0.651,2010,0.5
2910107,0.591,0.482,0.783,0.547,2010,0.46
2910206,0.632,0.531,0.795,0.598,2010,0.55
2910305,0.623,0.527,0.777,0.59,2010,0.5
2910404,0.544,0.4,0.754,0.533,2010,0.49
2910503,0.615,0.492,0.785,0.602,2010,0.6
2910602,0.589,0.469,0.74,0.589,2010,0.57
2910701,0.567,0.43,0.749,0.565,2010,0.55
2910727,0.677,0.572,0.791,0.687,2010,0.57
2910750,0.559,0.459,0.686,0.554,2010,0.53
2910776,0.588,0.505,0.763,0.527,2010,0.54
2910800,0.712,0.619,0.82,0.71,2010,0.6
2910859,0.565,0.45,0.726,0.553,2010,0.57
2910909,0.578,0.464,0.699,0.596,2010,0.43
2911006,0.557,0.431,0.731,0.548,2010,0.45
2911105,0.618,0.536,0.763,0.576,2010,0.6
2911204,0.632,0.508,0.771,0.645,2010,0.59
2911253,0.599,0.508,0.747,0.566,2010,0.4
2911303,0.559,0.45,0.743,0.523,2010,0.52
2911402,0.593,0.479,0.775,0.563,2010,0.51
2911501,0.576,0.456,0.773,0.543,2010,0.47
2911600,0.643,0.594,0.754,0.594,2010,0.54
2911659,0.569,0.437,0.77,0.548,2010,0.46
2911709,0.673,0.584,0.789,0.663,2010,0.55
2911808,0.558,0.406,0.766,0.559,2010,0.53
2911857,0.563,0.437,0.748,0.547,2010,0.5
2911907,0.574,0.461,0.697,0.588,2010,0.61
2912004,0.611,0.476,0.789,0.608,2010,0.46
2912103,0.625,0.524,0.764,0.609,2010,0.53
2912202,0.591,0.484,0.731,0.583,2010,0.48
2912301,0.584,0.435,0.78,0.586,2010,0.5
2912400,0.616,0.545,0.744,0.577,2010,0.56
2912509,0.584,0.475,0.757,0.553,2010,0.57
2912608,0.511,0.335,0.771,0.517,2010,0.58
2912707,0.558,0.415,0.748,0.561,2010,0.52
2912806,0.614,0.467,0.774,0.641,2010,0.51
2912905,0.576,0.424,0.789,0.571,2010,0.49
2913002,0.585,0.49,0.744,0.55,2010,0.55
2913101,0.602,0.527,0.747,0.554,2010,0.5
2913200,0.636,0.548,0.78,0.601,2010,0.55
2913309,0.631,0.562,0.771,0.58,2010,0.47
2913408,0.614,0.516,0.766,0.586,2010,0.5
2913457,0.574,0.424,0.789,0.565,2010,0.54
2913507,0.552,0.382,0.786,0.559,2010,0.55
2913606,0.69,0.59,0.808,0.688,2010,0.58
2913705,0.565,0.429,0.757,0.556,2010,0.53
2913804,0.55,0.424,0.776,0.506,2010,0.53
2913903,0.67,0.551,0.796,0.687,2010,0.69
2914000,0.549,0.39,0.748,0.568,2010,0.52
2914109,0.59,0.499,0.736,0.558,2010,0.5
2914208,0.576,0.453,0.776,0.544,2010,0.52
2914307,0.571,0.463,0.74,0.543,2010,0.5
2914406,0.599,0.523,0.749,0.548,2010,0.61
2914505,0.62,0.501,0.809,0.587,2010,0.5
2914604,0.691,0.643,0.776,0.661,2010,0.59
2914653,0.599,0.465,0.751,0.614,2010,0.55
2914703,0.62,0.485,0.769,0.638,2010,0.58
2914802,0.712,0.643,0.807,0.695,2010,0.56
2914901,0.583,0.413,0.807,0.594,2010,0.55
2915007,0.572,0.485,0.719,0.536,2010,0.54
2915106,0.543,0.426,0.694,0.543,2010,0.46
2915205,0.589,0.469,0.77,0.566,2010,0.47
2915304,0.634,0.516,0.821,0.602,2010,0.52
2915353,0.562,0.435,0.74,0.55,2010,0.54
2915403,0.592,0.502,0.724,0.57,2010,0.48
2915502,0.599,0.466,0.759,0.609,2010,0.49
2915601,0.627,0.502,0.767,0.641,2010,0.55
2915700,0.578,0.454,0.713,0.595,2010,0.51
2915809,0.578,0.436,0.75,0.589,2010,0.4
2915908,0.584,0.433,0.796,0.577,2010,0.63
2916005,0.637,0.525,0.79,0.624,2010,0.54
2916104,0.67,0.553,0.826,0.657,2010,0.63
